team,followers,retrieved_at,url
adelaidecrows,295K,2025-05-15T19-36-17.958675,https://www.facebook.com/adelaidecrows
brisbanelions,236K,2025-05-15T19-36-17.958675,https://www.facebook.com/brisbanelions
carltonfc,323K,2025-05-15T19-36-17.958675,https://www.facebook.com/OfficialCarltonFC
collingwoodfc,425K,2025-05-15T19-36-17.958675,https://www.facebook.com/CollingwoodFC
essendonfc,358K,2025-05-15T19-36-17.958675,https://www.facebook.com/EssendonFC
fremantle,238K,2025-05-15T19-36-17.958675,https://www.facebook.com/freodockers
geelongcats,254K,2025-05-15T19-36-17.958675,https://www.facebook.com/geelongcats
goldcoastsuns,118K,2025-05-15T19-36-17.958675,https://www.facebook.com/GoldCoastFC
gws,144K,2025-05-15T19-36-17.958675,https://www.facebook.com/GWSGIANTS
hawthorn,362K,2025-05-15T19-36-17.958675,https://www.facebook.com/HawthornFC
melbourne,197K,2025-05-15T19-36-17.958675,https://www.facebook.com/melbournefc
northmelbourne,162K,2025-05-15T19-36-17.958675,https://www.facebook.com/NMFCOfficial
portadelaide,217K,2025-05-15T19-36-17.958675,https://www.facebook.com/PortAdelaideFC
richmond,315K,2025-05-15T19-36-17.958675,https://www.facebook.com/richmondfc
stkilda,211K,2025-05-15T19-36-17.958675,https://www.facebook.com/stkfc
sydneyswans,283K,2025-05-15T19-36-17.958675,https://www.facebook.com/sydneyswans
westcoasteagles,339K,2025-05-15T19-36-17.958675,https://www.facebook.com/WCEofficial
westernbulldogs,218K,2025-05-15T19-36-17.958675,https://www.facebook.com/westernbulldogs
