keyword,author,text,post_time,url,sentiment
#AFL,vibewire.bsky.social,#AFL #BreakingNews #CollingwoodFootballClub #Melbourne,2025-05-05T05:57:38.283Z,https://bsky.app/profile/vibewire.bsky.social/post/3lofoqpfr7k2a,"{'collingwoodfc': 0.0, 'melbournefc': 0.0}"
#AFL,zerohanger.bsky.social,"""That's the reality."" #AFL",2025-05-05T05:33:06.284Z,https://bsky.app/profile/zerohanger.bsky.social/post/3lofnettl6t2t,{'general': 0.0}
#AFL,aussienews.bsky.social,"Rioli was fined for striking Dale on Saturday, but the angst has now spilled off field because of allegations a message was sent by the Port Adelaide forward to one of Dale’s teammates. #news #theage #sport #afl",2025-05-05T05:20:15.886Z,https://bsky.app/profile/aussienews.bsky.social/post/3lofmnukzmu2k,{'weareportadelaide': 0.0}
#AFL,zerohanger.bsky.social,"There were seven perfect games over the weekend, while a new leader has been revealed.

AFLCA Round 8 votes >>> zerohanger.com/XPsLo #AFL",2025-05-05T05:09:05.890Z,https://bsky.app/profile/zerohanger.bsky.social/post/3loflzw4kgx2q,{'general': 0.5719}
#AFL,zerohanger.bsky.social,All of the MVP Votes from Round 8backhand index pointing down #AFL,2025-05-05T04:53:06.884Z,https://bsky.app/profile/zerohanger.bsky.social/post/3lofl5dl2vx2h,{'general': 0.0}
#AFL,sportsindustryau.bsky.social,"Round 8 of the 2025 #AFL season was watched by 1.414m on Seven at an average of 353,000 per broadcast.

Aggregate ratings for the season on Seven are  17.178m with a number of delayed broadcasts and single market live broadcasts unavailable.

Data VOZ",2025-05-05T04:26:00.883Z,https://bsky.app/profile/sportsindustryau.bsky.social/post/3lofjmv7ew22d,{'general': -0.1531}
#AFL,zerohanger.bsky.social,"The new AFL26 game is set to hit the shelves this week, and a host of key player rankings have been revealed.

MORE >>> zerohanger.com/YJtnr #AFL",2025-05-05T04:25:06.286Z,https://bsky.app/profile/zerohanger.bsky.social/post/3lofjlaqw3u2k,{'general': 0.0}
#AFL,crowdiegal.bsky.social,#AFL Both Steven May and Dion Prestia to be charged by Victorian Police over bucks party brawl. Both players have denied any wrong doing | Fox Sports www.foxsports.com.au/afl/afl-news...,2025-05-05T04:03:29.682Z,https://bsky.app/profile/crowdiegal.bsky.social/post/3lofiegvyhs2m,{'weareportadelaide': -0.718}
#AFL,lukefoley.me,So let me get this straight. Willie Rioli struck Bailey Dale in an off the ball incident (which was caught on camera) then sent him a threatening text message sometime afterwards? Crazy shit from Willie if true. #AFL,2025-05-05T03:55:41.980Z,https://bsky.app/profile/lukefoley.me/post/3lofhwoidfk2y,{'general': -0.7561}
#AFL,jessicaperthwa.bsky.social,"www.news.com.au/sport/afl/po.... #AFL Seriously,  what goes on in the field stays on the field. To threaten your opponent  after a game through online posts should see a huge fine and suspension..",2025-05-05T03:39:35.686Z,https://bsky.app/profile/jessicaperthwa.bsky.social/post/3lofgztgpcc2b,{'weareportadelaide': -0.178}
#AFL,zerohanger.bsky.social,This week's Rookie Rankings are in! #AFL,2025-05-05T03:39:07.585Z,https://bsky.app/profile/zerohanger.bsky.social/post/3lofgyzuo6n2o,{'general': 0.0}
#AFL,zerohanger.bsky.social,See which recruits are having the most impact at their new clubs after Round 8 backhand index pointing down #AFL,2025-05-05T03:10:06.687Z,https://bsky.app/profile/zerohanger.bsky.social/post/3lofff5lofo22,{'general': 0.0}
#AFL,sportsindustryau.bsky.social,"Sun May 4 #AuSportTV
Breakdowns

#NRL 
Panthers/Broncos 
Nine 554k (BVOD 72k) Rch 1.316m
Syd 168k Bris 146k

#AFL 
Seven 399k (BVOD 33k) Rch 1.280m
Swans/Giants 
- 58k (7 Syd only)
Hawks/Tigers 
- Mel 120k Adl 38k Per 31k Bri N/A

Lions/Suns 
- 33k (7 mate Bris only)

Data VOZ,  @mediaspyorg",2025-05-05T03:05:17.982Z,https://bsky.app/profile/sportsindustryau.bsky.social/post/3loff4k547c2y,"{'brisbanelions': 0.0, 'gcfc': 0.0, 'gwsgiants': 0.0, 'hawktalk': 0.0, 'weareportadelaide': 0.0, 'richmondfc': 0.0, 'sydneyswans': 0.0}"
#AFL,zerohanger.bsky.social,Read up on the weekend’s standouts from the sixth round of the VFL season. #AFL,2025-05-05T02:26:07.089Z,https://bsky.app/profile/zerohanger.bsky.social/post/3lofcwic4kh2e,{'general': 0.0}
#AFL,zerohanger.bsky.social,"The brother of a Cats speedster, a Richmond VFL forward and another Essendon-linked teen were among the weekend's standouts. #AFL",2025-05-05T02:12:06.280Z,https://bsky.app/profile/zerohanger.bsky.social/post/3lofc5gtwko2o,"{'essendonfc': 0.0, 'geelongcats': 0.0, 'richmondfc': 0.0}"
#AFL,zerohanger.bsky.social,"A pair of ex-teammates are expected to be charged for their alleged involvement in an off-season ""affray"". 

MORE >>>  https//www.zerohanger.com/kEHxr #AFL",2025-05-05T01:57:06.582Z,https://bsky.app/profile/zerohanger.bsky.social/post/3lofbcmezpy2q,{'general': -0.2023}
#AFL,guywholikessport.bsky.social,"Steve Kerr's Warriors are currently playing a game 7, but #aflsaintsfreo made me think about the Warriors' last coach Mark Jackson. 

It struck me that Freo is in their Mark Jackson era. A progressive list playing a regressive game.

#AFL 

www.neds.com.au/blog/2025/05...",2025-05-05T01:55:21.482Z,https://bsky.app/profile/guywholikessport.bsky.social/post/3lofb7epcok2t,"{'fremantlefc': -0.074, 'stkilda': 0.103}"
#AFL,sportsindustryau.bsky.social,"Sunday May 4 #AuSportTV
#NRL 
Panthers/Broncos
Nine 554k (BVOD 72k) Reach 1.316m

#AFL 
Swans/Giants (7 NSW)
Hawks/Tigers (7 Vic/SA/WA, 7m QLD)
Seven 399k (BVOD 33k) Reach 1.280m

Suns/Lions separate broadcast

Data VOZ",2025-05-05T01:47:58.283Z,https://bsky.app/profile/sportsindustryau.bsky.social/post/3lofasbmm422y,"{'brisbanelions': 0.052, 'gcfc': 0.052, 'gwsgiants': 0.052, 'hawktalk': 0.052, 'weareportadelaide': 0.052, 'richmondfc': 0.052, 'sydneyswans': 0.052}"
#AFL,aussienews.bsky.social,This is Smith’s third venture into the headlines this year for an action not involving kicking a football. The key takeouts from round eight. #news #theage #sport #afl,2025-05-05T01:40:30.188Z,https://bsky.app/profile/aussienews.bsky.social/post/3lofaevjsmf2p,{'weareportadelaide': 0.0}
#AFL,zerohanger.bsky.social,"""I feel like the past two weeks we’re getting back to somewhere near what we look like when we play our best footy."" #AFL",2025-05-05T01:26:06.688Z,https://bsky.app/profile/zerohanger.bsky.social/post/3lof7l6nhf32w,{'general': 0.891}
#AFL,milesrandjack.bsky.social,The organised effort by AFL affiliated media to get Harley Reid back to Victoria is nothing more than AFL-endorsed draft tampering. It's designed to stop non-Vic clubs taking top Victorian draftees #afl,2025-05-05T01:23:19.986Z,https://bsky.app/profile/milesrandjack.bsky.social/post/3lof7gbhc6s2x,{'general': -0.1027}
#AFL,aussienews.bsky.social,Sydney defender Lewis Melican's high shot against GWS midfielder Toby Bedford is discussed on Nine's Footy Furnace. #news #theage #sport #afl,2025-05-05T01:20:08.482Z,https://bsky.app/profile/aussienews.bsky.social/post/3lof7aibaze2o,"{'gwsgiants': 0.103, 'weareportadelaide': 0.0}"
#AFL,zerohanger.bsky.social,"""He does battle, and he doesn’t get a lot of protection, I’m not gonna lie."" #AFL",2025-05-05T01:10:07.085Z,https://bsky.app/profile/zerohanger.bsky.social/post/3lof6olx7aw2e,{'general': -0.3818}
#AFL,zerohanger.bsky.social,Tasmania have announced two key acquisitions for their football department. #AFL,2025-05-05T00:26:05.495Z,https://bsky.app/profile/zerohanger.bsky.social/post/3lof47ut4y32o,{'general': 0.0}
#AFL,zerohanger.bsky.social,"""I think he’s really created something in the game."" #AFL",2025-05-05T00:14:07.188Z,https://bsky.app/profile/zerohanger.bsky.social/post/3lof3kgxssm2e,{'general': 0.3167}
